NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Station,Distance
SJ025,Saint Johns,Tree,29.824734,-81.305313,1,1,1,2,2,0,Successful,USC00086767,23.48498576
SJ028,Saint Johns,Tree,29.769986,-81.289537,1,1,1,1,1,0,Successful,USC00086767,17.34087587
SJ031,Saint Johns,Tree,30.0195,-81.33083333,1,1,1,1,1,0,Successful,USW00053860,39.40658192
SJ036,Saint Johns,Tree,30.0781464,-81.6578364,1,1,1,2,2,0,Successful,USW00093837,17.27654174
SJ037,Saint Johns,Tree,30.0875,-81.63583333,1,1,1,2,2,0,Successful,USW00093837,16.48436738
SJ038,Saint Johns,Tree,30.168409,-81.3838226,1,1,0,0,0,0,Failed,USW00053860,22.47592821
SJ039,Saint Johns,Tree,30.23916667,-81.38666667,0,0,0,0,0,0,Taken,USW00053860,16.2831888
SJ044,Saint Johns,Tree,29.673,-81.238,1,1,1,1,1,0,Successful,USC00086767,5.512567565
SJ045,Saint Johns,Tree,29.926283,-81.324391,1,1,0,1,0,1,Failed,USC00086767,34.66763955
SJ046,Saint Johns,Tree,29.6904667,-81.2471473,1,1,1,2,2,0,Successful,USC00086767,7.625029972
SJ048,Saint Johns,Tree,30.2021,-81.3877,1,1,1,1,1,0,Successful,USW00053860,19.22342461
SJ049,Saint Johns,Tree,29.86855667,-81.29964601,0,0,0,0,0,0,Destroyed,USC00086767,27.82154608
SJ051,Saint Johns,Tree,30.2000336,-81.3974868,1,1,1,2,2,0,Successful,USW00053860,18.83609022
SJ903,Saint Johns,Tree,29.992763,-81.362177,1,1,0,1,0,1,Failed,USW00093837,39.66573718
SJ910,Saint Johns,Tree,,,0,0,0,0,0,0,Inactive,none,100000
SJ911,Saint Johns,Tree,30.228387,-81.400204,0,0,0,0,0,0,Inactive,USW00053860,16.21435758
SJ921,Saint Johns,Tree,29.950765,-81.459583,1,1,1,1,1,0,Successful,USW00093837,37.20416699
SJ922,Saint Johns,Tree,30.005827,-81.605422,1,1,1,1,1,0,Successful,USW00093837,25.97406335
SJ983,Saint Johns, Tree,30.140868,-81.391495,1,1,1,1,1,0,Successful,USW00053860,24.73349362
SL002,Saint Lucie,Tree,27.522333,-80.359333,1,1,1,2,1,1,Successful,USW00012843,15.74470662
SL006,Saint Lucie,Tree,27.397641,-80.38487,1,1,0,0,0,0,Failed,USW00012843,28.79651493
SL011,Saint Lucie,Tree,27.468333,-80.3835,1,1,1,2,2,0,Successful,USW00012843,21.00962675
SL013,Saint Lucie,Tree,27.300167,-80.3185,1,1,1,2,2,0,Successful,USW00012843,40.60305476
SL016,Saint Lucie,Tree,27.370487,-80.302861,0,0,0,0,0,0,Inactive,USW00012843,33.52088192
SL017,Saint Lucie,Tree,27.300612,-80.276986,1,1,1,2,1,1,Successful,USW00012843,41.69943345
SL019,Saint Lucie,Tree,27.211335,-80.29351,1,1,1,2,2,0,Successful,USW00012843,50.78446433
SL921,Saint Lucie,Tree,27.34268,-80.297644,1,1,1,2,2,0,Successful,USW00012843,36.6149949
SL971,Saint Lucie,Tree,27.324018,-80.28405,0,0,0,0,0,0,Inactive,USW00012843,39.01154894
SR011,Santa Rosa,Tree,30.352998,-87.172546,1,1,1,2,2,0,Successful,USW00013899,13.74898685
SR012,Santa Rosa,Tree,30.39057,-87.030022,1,1,1,2,2,0,Successful,USW00013899,17.70331392
SU020,Sumter,Tree,28.830833,-82.016667,0,0,0,0,0,0,Inactive,USW00012819,20.19591095
SU024,Sumter,Tree,28.8285,-81.995667,1,1,1,2,2,0,Successful,USW00012819,18.14032659
SU031,Sumter,Tree,28.743167,-81.995667,1,1,1,2,2,0,Successful,USW00012819,20.11107208
SU040,Sumter,Tree,28.92583,-82.13721,1,1,1,2,2,0,Successful,USW00012819,33.9439244
SU041,Sumter,Tree,28.935195,-82.043653,1,1,1,1,1,0,Successful,USW00012819,26.06221731
SU042,Sumter,Artificial Substrate,28.927795,-81.959068,1,1,1,1,1,0,Successful,USW00012819,18.75137835
SU043,Sumter,Tree,28.840085,-81.987001,0,0,0,0,0,0,Inactive,USW00012819,17.4021748
SU044,Sumter,Tree,28.746253,-82.089702,0,0,0,0,0,0,Inactive,USW00012819,28.54609409
SU910,Sumter,Tree,28.796222,-82.049221,0,0,0,0,0,0,Inactive,USW00012819,23.51168464
SU921,Sumter,Tree,28.828052,-81.979858,1,1,1,1,1,0,Successful,USW00012819,16.59958389
SU922,Sumter,Tree,28.83055,-81.99116,1,1,1,2,2,0,Successful,USW00012819,17.71310168
SW002,Suwannee,Tree,30.232333,-82.894667,1,1,1,2,2,0,Successful,USW00012833,69.62955307
SW003,Suwannee,Tree,30.1441255,-83.1077531,1,1,1,2,2,0,Successful,USW00012833,56.79844701
VO012,Volusia,Tree,,,0,0,0,0,0,0,Inactive,none,100000
VO018,Volusia,Tree,,,0,0,0,0,0,0,Inactive,none,100000
VO028,Volusia,Tree,29.267333,-81.532667,0,0,0,0,0,0,Inactive,USW00012834,45.92087039
VO029,Volusia,Tree,29.276667,-81.5415,0,0,0,0,0,0,Inactive,USW00012834,46.99652019
VO045,Volusia,Tree,28.8615,-81.234833,1,1,1,2,2,0,Successful,USW00012854,9.156441758
VO047,Volusia,Tree,28.95833333,-80.915,1,1,1,1,1,0,Successful,USW00012834,28.37031063
VO054,Volusia,Tree,29.044756,-80.936888,1,1,1,2,2,0,Successful,USW00012834,19.41354787
VO060,Volusia,Tree,28.8095,-80.823333,0,0,0,0,0,0,Inactive,USW00012854,41.08503088
VO075,Volusia,Tree,29.1095,-80.987333,0,0,0,0,0,0,Inactive,USW00012834,10.86444548
VO079,Volusia, Tree,,,0,0,0,0,0,0,Inactive,none,100000
VO081,Volusia,Tree,29.28123,-81.538828,0,0,0,0,0,0,Inactive,USW00012834,46.87122022
VO082,Volusia,Tree,28.847333,-81.2365,1,1,1,2,2,0,Successful,USW00012854,7.572887081
VO088,Volusia,Tree,29.075333,-80.9535,1,1,1,2,2,0,Successful,USW00012834,15.85357401
VO100,Volusia,Tree,29.151319,-81.039223,1,1,1,2,2,0,Successful,USW00012834,4.015655395
VO105,Volusia,Tree,28.994833,-81.332833,1,1,0,0,0,0,Failed,USW00012854,25.47162277
VO106,Volusia,Tree,28.959256,-80.88722,1,1,1,1,1,0,Successful,USW00012834,29.82585375
VO114,Volusia,Tree,28.893833,-81.219667,1,1,1,1,1,0,Successful,USW00012854,12.92344332
VO115,Volusia,Tree,29.275333,-81.109167,1,1,1,2,2,0,Successful,USW00012834,11.88723608
VO123,Volusia,Tree,29.24266667,-81.0445,1,0,0,0,0,0,Failed,USW00012834,8.135151528
VO131,Volusia,Artificial Substrate,28.912,-81.266833,1,1,0,0,0,0,Failed,USW00012854,14.90560039
VO133,Volusia,Tree,29.124909,-81.050401,1,1,1,2,2,0,Successful,USW00012834,5.791723071
VO134,Volusia,Artificial Substrate,29.222732,-81.044517,1,1,1,2,2,0,Successful,USW00012834,6.082386781
VO135,Volusia,Tree,29.123547,-81.011502,1,1,1,1,1,0,Successful,USW00012834,8.075376662
VO138,Volusia,Tree,28.873176,-81.271085,1,1,1,1,1,0,Successful,USW00012854,10.75482128
VO139,Volusia,Tree,29.109203,-81.368037,1,1,1,1,1,0,Successful,USW00012834,29.64113945
VO140,Volusia,Tree,28.8494605,-81.2435035,0,0,0,0,0,0,Inactive,USW00012854,7.778153379
VO141,Volusia,Artificial Substrate,,,1,1,0,3,0,3,Failed,none,100000
VO143,Volusia,Tree,29.10445,-81.050666,1,1,1,2,2,0,Successful,USW00012834,7.949976764
VO144,Volusia,Tree,29.211376,-81.038556,1,1,1,1,1,0,Successful,USW00012834,5.307885603
VO147,Volusia,Artificial Substrate,29.020013,-80.997731,1,1,1,2,1,1,Successful,USW00012834,18.52519717
VO148,Volusia,Tree,29.163047,-80.998008,1,1,1,2,2,0,Successful,USW00012834,7.263446606
VO150,Volusia,Tree,28.831761,-81.192189,1,1,1,2,2,0,Successful,USW00012854,7.66879776
VO911,Volusia,Tree,29.057436,-80.96447,1,0,0,0,0,0,Failed,USW00012834,16.5951998
VO912,Volusia,Tree,28.957871,-81.357274,1,0,0,0,0,0,Failed,USW00012854,22.7146599
